country,country_code,governing_body,clubs,players,national_teams
Laos,LAO,AFC,0,206,"['M', 'F']"
Latvia,LVA,UEFA,21,308,"['M', 'F']"
Lebanon,LIB,AFC,0,272,"['M', 'F']"
Lesotho,LES,CAF,0,137,"['M', 'F']"
Liberia,LBR,CAF,0,238,"['M', 'F']"
Libya,LBY,CAF,0,202,['M']
Liechtenstein,LIE,UEFA,2,153,"['M', 'F']"
Lithuania,LTU,UEFA,20,327,"['M', 'F']"
Luxembourg,LUX,UEFA,20,289,"['M', 'F']"
Macau,MAC,AFC,0,122,"['M', 'F']"
Madagascar,MAD,CAF,0,178,['M']
Malawi,MWI,CAF,0,162,"['M', 'F']"
Malaysia,MAS,AFC,0,323,"['M', 'F']"
Maldives,MDV,AFC,0,178,"['M', 'F']"
Mali,MLI,CAF,0,444,"['M', 'F']"
Malta,MLT,UEFA,14,254,"['M', 'F']"
Martinique,MTQ,CONCACAF,2,243,"['M', 'F']"
Mauritania,MTN,CAF,0,138,['M']
Mauritius,MRI,CAF,0,110,"['M', 'F']"
Mexico,MEX,CONCACAF,29,2513,"['M', 'F']"
Moldova,MDA,UEFA,20,362,"['M', 'F']"
Mongolia,MNG,AFC,0,139,"['M', 'F']"
Montenegro,MNE,UEFA,18,474,"['M', 'F']"
Montserrat,MSR,CONCACAF,0,114,['M']
Morocco,MAR,CAF,1,805,"['M', 'F']"
Mozambique,MOZ,CAF,0,161,"['M', 'F']"
Myanmar,MYA,AFC,0,232,"['M', 'F']"
Namibia,NAM,CAF,0,158,"['M', 'F']"
Nepal,NEP,AFC,0,202,"['M', 'F']"
Netherlands,NED,UEFA,61,4483,"['M', 'F']"
New Caledonia,NCL,OFC,0,182,"['M', 'F']"
New Zealand,NZL,OFC,5,394,"['M', 'F']"
Nicaragua,NCA,CONCACAF,0,221,"['M', 'F']"
Niger,NIG,CAF,0,157,"['M', 'F']"
Nigeria,NGA,CAF,0,1313,"['M', 'F']"
North Macedonia,MKD,UEFA,25,494,"['M', 'F']"
Northern Ireland,NIR,UEFA,16,595,"['M', 'F']"
Norway,NOR,UEFA,53,2819,"['M', 'F']"
Oman,OMA,AFC,0,196,['M']
Pakistan,PAK,AFC,0,171,"['M', 'F']"
Palestine,PLE,AFC,0,258,"['M', 'F']"
Panama,PAN,CONCACAF,0,368,"['M', 'F']"
Papua New Guinea,PNG,OFC,0,110,"['M', 'F']"
Paraguay,PAR,CONMEBOL,27,1711,"['M', 'F']"
Peru,PER,CONMEBOL,35,1610,"['M', 'F']"
Philippines,PHI,AFC,0,275,"['M', 'F']"
